Questions,Answers
How do I create a multidimensional list?,"The suggested approach is to create a list of the desired length first
and then fill in each element with a newly created list Or you can use an extension that provides a matrix datatype; NumPy is
the best known."
What is a class?,"A class is the particular object type created by executing a class
statement. Class objects are used as templates to create instance
objects, which embody both the data (attributes) and code (methods)
specific to a datatype.
"
What is a method?,"A method is a function on some object ""x"" that you normally call as
""x.name(arguments...)"".  Methods are defined as functions inside the
class definition"
What is self?,"Self is merely a conventional name for the first argument of a method.
"
What is delegation?,"Delegation is an object oriented technique (also called a design
pattern). Let's say you have an object ""x"" and want to change the
behaviour of just one of its methods.  You can create a new class that
provides a new implementation of the method you're interested in
changing and delegates all other methods to the corresponding method
of ""x"".
"
How do I call a method defined in a base class from a derived class that overrides it?,"Use the built-in ""super()"" function"
How can I organize my code to make it easier to change the base class?,"You could assign the base class to an alias and derive from the alias.
Then all you have to change is the value assigned to the alias.
"
How do I create static class data and static class methods?,"Both static data and static methods (in the sense of C++ or Java) are
supported in Python.For static data, simply define a class attribute.  To assign a new
value to the attribute, you have to explicitly use the class name in
the assignment."
How can I overload constructors (or methods) in Python?,"
In Python you have to write a single constructor that catches all
cases using default arguments. "
"
How do I get a list of all instances of a given class?","Python does not keep track of all instances of a class (or of a built-
in type). You can program the class's constructor to keep track of all
instances by keeping a list of weak references to each instance.
"
"Why does the result of ""id()"" appear to be not unique?","The ""id()"" builtin returns an integer that is guaranteed to be unique
during the lifetime of the object.  Since in CPython, this is the
object's memory address, it happens frequently that after an object is
deleted from memory, the next freshly created object is allocated at
the same position in memory.  "
When can I rely on identity tests with the *is* operator?,"The most important property of an identity test is that an object is
always identical to itself, ""a is a"" always returns ""True"".  Identity
tests are usually faster than equality tests.  And unlike equality
tests, identity tests are guaranteed to return a boolean ""True"" or
""False"".
"
How do I create a .pyc file?,"When a module is imported for the first time a "".pyc"" file
containing the compiled code should be created in a ""__pycache__""
subdirectory of the directory containing the "".py"" file.  The "".pyc""
file will have a filename that starts with the same name as the "".py""
file, and ends with "".pyc"", with a middle component that depends on
the particular ""python"" binary that created it. "
How do I find the current module name?,"
A module can find out its own module name by looking at the predefined
global variable ""__name__"".  If this has the value ""'__main__'"", the
program is running as a script.  Many modules that are usually used by
importing them also provide a command-line interface or a self-test,
and only execute this code after checking ""__name__""
"
What is the difference between list and tuples in Python?,LIST-Lists are mutable i.e they can be edited.TUPLES-Tuples are immutable (tuples are lists which can’t be edited).
What are the key features of Python?,"Python is an interpreted language. That means that, unlike languages like C and its variants, Python does not need to be compiled before it is run. Other interpreted languages include PHP and Ruby.
Python is dynamically typed, this means that you don’t need to state the types of variables when you declare them or anything like that. You can do things like x=111 and then x=""I'm a string"" without error
Python is well suited to object orientated programming in that it allows the definition of classes along with composition and inheritance. Python does not have access specifiers (like C++’s public, private).
In Python, functions are first-class objects. This means that they can be assigned to variables, returned from other functions and passed into functions. Classes are also first class objects
Writing Python code is quick but running it is often slower than compiled languages. Fortunately?Python allows the inclusion of C-based extensions so bottlenecks can be optimized away and often are. The numpy package is a good example of this, it’s really quite quick because a lot of the number-crunching it does isn’t actually done by Python
Python finds use in many spheres – web applications, automation, scientific modeling, big data applications and many more. It’s also often used as “glue” code to get other languages and components to play nice."
What type of language is python? Programming or scripting?,"Python is capable of scripting, but in general sense, it is considered as a general-purpose programming language. To know more about Scripting, you can refer to the Python Scripting Tutorial."
Python an interpreted language. Explain.,"An interpreted language is any programming language which is not in machine-level code before runtime. Therefore, Python is an interpreted language."
What is pep 8?,PEP stands for Python Enhancement Proposal. It is a set of rules that specify how to format Python code for maximum readability.
How is memory managed in Python?,"Memory is managed in Python in the following ways:

Memory management in python is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have access to this private heap. The python interpreter takes care of this instead.
The allocation of heap space for Python objects is done by Python’s memory manager. The core API gives access to some tools for the programmer to code.
Python also has an inbuilt garbage collector, which recycles all the unused memory and so that it can be made available to the heap space."
What is namespace in Python?,A namespace is a naming system used to make sure that names are unique to avoid naming conflicts.
What is PYTHONPATH?,"It is an environment variable which is used when a module is imported. Whenever a module is imported, PYTHONPATH is also looked up to check for the presence of the imported modules in various directories. The interpreter uses it to determine which module to load."
 What are python modules? Name some commonly used built-in modules in Python?,"Python modules are files containing Python code. This code can either be functions classes or variables. A Python module is a .py file containing executable code.

Some of the commonly used built-in modules are:

os
sys
math
random
data time
JSON"
What are local variables and global variables in Python?,"Global Variables:

Variables declared outside a function or in global space are called global variables. These variables can be accessed by any function in the program.

Local Variables:

Any variable declared inside a function is known as a local variable. This variable is present in the local space and not in the global space."
Is python case sensitive?,Yes. Python is a case sensitive language.
What is type conversion in Python?,"Type conversion refers to the conversion of one data type iinto another.

int() – converts any data type into integer type

float() – converts any data type into float type

ord() – converts characters into integer

hex() – converts integers to hexadecimal

oct() – converts integer to octal

tuple() – This function is used to convert to a tuple.

set() – This function returns the type after converting to set.

list() – This function is used to convert any data type to a list type.

dict() – This function is used to convert a tuple of order (key,value) into a dictionary.

str() – Used to convert integer into a string.

complex(real,imag) – This functionconverts real numbers to complex(real,imag) number."
How to install Python on Windows and set path variable?," To install Python on Windows, follow the below steps:

Install python from this link: https://www.python.org/downloads/
After this, install it on your PC. Look for the location where PYTHON has been installed on your PC using the following command on your command prompt: cmd python. 
Then go to advanced system settings and add a new variable and name it as PYTHON_NAME and paste the copied path.
Look for the path variable, select its value and select ‘edit’.
Add a semicolon towards the end of the value if it’s not present and then type %PYTHON_HOME% "
Is indentation required in python?,"Indentation is necessary for Python. It specifies a block of code. All code within loops, classes, functions, etc is specified within an indented block. It is usually done using four space characters. If your code is not indented necessarily, it will not execute accurately and will throw errors as well."
 What is the difference between Python Arrays and lists?,"Arrays and lists, in Python, have the same way of storing data. But, arrays can hold only a single data type elements whereas lists can hold any data type elements."
What are functions in Python?,"A function is a block of code which is executed only when it is called. To define a Python function, the def keyword is used."
What is __init__?,__init__ is a method or constructor in Python. This method is automatically called to allocate memory when a new object/ instance of a class is created. All classes have the __init__ method.
What is a lambda function?,"An anonymous function is known as a lambda function. This function can have any number of parameters but, can have just one statement."
What is self in Python?,"elf is an instance or an object of a class. In Python, this is explicitly included as the first parameter. However, this is not the case in Java where it’s optional.  It helps to differentiate between the methods and attributes of a class with local variables.

The self variable in the init method refers to the newly created object while in other methods, it refers to the object whose method was called."
"How does break, continue and pass work?","Break-Allows loop termination when some condition is met and the control is transferred to the next statement.Continue-Allows skipping some part of a loop when some specific condition is met and the control is transferred to the beginning of the loop
Pass -Used when you need some block of code syntactically, but you want to skip its execution. This is basically a null operation. Nothing happens when this is executed."
What are python iterators?,Iterators are objects which can be traversed though or iterated upon.
How can you generate random numbers in Python?,"The statement random.random() method return the floating point number that is in the range of [0, 1). The function generates random float numbers. The methods that are used with the random class are the bound methods of the hidden instances. The instances of the Random can be done to show the multi-threading programs that creates a different instance of individual threads. The other random generators that are used in this are:

randrange(a, b): it chooses an integer and define the range in-between [a, b). It returns the elements by selecting it randomly from the range that is specified. It doesn’t build a range object.
uniform(a, b): it chooses a floating point number that is defined in the range of [a,b).Iyt returns the floating point number
normalvariate(mean, sdev): it is used for the normal distribution where the mu is a mean and the sdev is a sigma that is used for standard deviation.
The Random class that is used and instantiated creates independent multiple random number generators."
What is the difference between range & xrange?,"For the most part, xrange and range are the exact same in terms of functionality. They both provide a way to generate a list of integers for you to use, however you please. The only difference is that range returns a Python list object and x range returns an xrange object.

This means that xrange doesn’t actually generate a static list at run-time like range does. It creates the values as you need them with a special technique called yielding. This technique is used with a type of object known as generators. That means that if you have a really gigantic range you’d like to generate a list for, say one billion, xrange is the function to use.

This is especially true if you have a really memory sensitive system such as a cell phone that you are working with, as range will use as much memory as it can to create your array of integers, which can result in a Memory Error and crash your program. It’s a memory hungry beast."
How do you write comments in python?,"Comments in Python start with a # character. However, alternatively at times, commenting is done using docstrings(strings enclosed within triple quotes)."
What is pickling and unpickling?,"Pickle module accepts any Python object and converts it into a string representation and dumps it into a file by using dump function, this process is called pickling. While the process of retrieving original Python objects from the stored string representation is called unpickling."
What are the generators in python?,Functions that return an iterable set of items are called generators.
How will you capitalize the first letter of string?,"In Python, the capitalize() method capitalizes the first letter of a string. If the string already consists of a capital letter at the beginning, then, it returns the original string."
How to comment multiple lines in python?,Multi-line comments appear in more than one line. All the lines to be commented are to be prefixed by a #. You can also a very good shortcut method to comment multiple lines. All you need to do is hold the ctrl key and left click in every place wherever you want to include a # character and type a # just once. This will comment all the lines where you introduced your cursor.
What are docstrings in Python?,"Docstrings are not actually comments, but, they are documentation strings. These docstrings are within triple quotes. They are not assigned to any variable and therefore, at times, serve the purpose of comments as well."
How will you convert a string to all lowercase?,"To convert a string to lowercase, lower() function can be used.

Example:

1
2
stg='ABCD'
print(stg.lower())"
How can you randomize the items of a list in place in Python?,"Consider the example shown below:

1
2
3
4
from random import shuffle
x = ['Keep', 'The', 'Blue', 'Flag', 'Flying', 'High']
shuffle(x)
print(x)"
What does [::-1} do?,"::-1] is used to reverse the order of an array or a sequence.
For example:
1
2
3
import array as arr
My_Array=arr.array('i',[1,2,3,4,5])
My_Array[::-1]"
What is the usage of help() and dir() function in Python?,"Help() function: The help() function is used to display the documentation string and also facilitates you to see the help related to modules, keywords, attributes, etc.Dir() function: The dir() function is used to display the defined symbols."
What is a dictionary in Python?,The built-in datatypes in Python is called dictionary. It defines one-to-one relationship between keys and values.Dictionaries contain pair of keys and their corresponding values. Dictionaries are indexed by keys.
How can the ternary operators be used in python?,The Ternary operator is the operator that is used to show the conditional statements. This consists of the true or false values with a statement that has to be evaluated for it.
"What does this mean: *args, **kwargs? And why would we use it?"," We use *args when we aren’t sure how many arguments are going to be passed to a function, or if we want to pass a stored list or tuple of arguments to a function. **kwargs is used when we don’t know how many keyword arguments will be passed to a function, or it can be used to pass the values of a dictionary as keyword arguments."
What does len() do?,"It is used to determine the length of a string, a list, an array, etc. Eg : stg='ABCD'  len(stg)"
"Explain split(), sub(), subn() methods of “re” module in Python.",split() – uses a regex pattern to “split” a given string into a list. sub() – finds all substrings where the regex pattern matches and then replace them with a different string subn() – it is similar to sub() and also returns the new string along with the no. of replacements.
What are negative indexes and why are they used?,The negative index is used to remove any new-line spaces from the string and allow the string to except the last character that is given as S[:-1].
What are Python packages?,Python packages are namespaces containing multiple modules.
How can files be deleted in Python?,"To delete a file in Python, you need to import the OS Module. After that, you need to use the os.remove() function."
What are the built-in types of python?,"Built-in types in Python are as follows –Integers,Floating-point,Complex numbers,Strings,Boolean,Built-in functions"
What advantages do NumPy arrays offer over (nested) Python lists?,"NumPy array is faster and You get a lot built in with NumPy, FFTs, convolutions, fast searching, basic statistics, linear algebra, histograms, etc. "
How to add values to a python array?,"Elements can be added to an array using the append(), extend() and the insert (i,x) functions."
How to remove values to a python array?,Array elements can be removed using pop() or remove() method. The difference between these two functions is that the former returns the deleted value whereas the latter does not.
Does Python have OOps concepts?,"Python is an object-oriented programming language. This means that any program can be solved in python by creating an object model. However, Python can be treated as procedural as well as structural language."
What is the difference between deep and shallow copy?,Shallow copy is used when a new instance type gets created and it keeps the values that are copied in the new instance.Deep copy is used to store the values that are already copied. Deep copy doesn’t copy the reference pointers to the objects.
What are Python libraries? Name a few of them.,"Python libraries are a collection of Python packages. Some of the majorly used python libraries are – Numpy, Pandas, Matplotlib, Scikit-learn and many more."
What is split used for?,The split() method is used to separate a given string in Python.
How to import modules in python?,Modules can be imported using the import keyword.
Explain Inheritance in Python with an example.,"Inheritance allows One class to gain all the members(say attributes and methods) of another class. Inheritance provides code reusability, makes it easier to create and maintain an application."
How are classes created in Python? ,Class in Python is created using the class keyword.
What is monkey patching in Python?,"In Python, the term monkey patch only refers to dynamic modifications of a class or module at run-time."
Does python support multiple inheritance?,"Multiple inheritance means that a class can be derived from more than one parent classes. Python does support multiple inheritance, unlike Java."
What is Polymorphism in Python?,"Polymorphism means the ability to take multiple forms. So, for instance, if the parent class has a method named ABC then the child class also can have a method with the same name ABC having its own parameters and variables. Python allows polymorphism."
Define encapsulation in Python?,Encapsulation means binding the code and the data together. A Python class in an example of encapsulation.
How do you do data abstraction in Python?,Data Abstraction is providing only the required details and hiding the implementation from the world. It can be achieved in Python by using interfaces and abstract classes.
Does python make use of access specifiers?,"Python does not deprive access to an instance variable or function. Python lays down the concept of prefixing the name of the variable, function or method with a single or double underscore to imitate the behavior of protected and private access specifiers."
How to create an empty class in Python? ,"An empty class is a class that does not have any code defined within its block. It can be created using the pass keyword. However, you can create objects of this class outside the class itself. IN PYTHON THE PASS command does nothing when its executed. it’s a null statement. "
What does an object() do?,"It returns a featureless object that is a base for all classes. Also, it does not take any parameters."
Write a one-liner that will count the number of capital letters in a file. Your code should work even if the file is too big to fit in memory.,"with open(SOME_LARGE_FILE) as fh:
count = 0
text = fh.read()
for character in text:
    if character.isupper():
count += 1"
Write a sorting algorithm for a numerical dataset in Python.,"list = [""1"", ""4"", ""0"", ""6"", ""9""]
list = [int(i) for i in list]
list.sort()
print (list)"
How To Save An Image Locally Using Python Whose URL Address I Already Know?,"import urllib.request
urllib.request.urlretrieve(""URL"", ""local-filename.jpg"")"
How to get indices of N maximum values in a NumPy array?,"import numpy as np
arr = np.array([1, 3, 2, 4, 5])
print(arr.argsort()[-3:][::-1])"
How do you calculate percentiles with Python/ NumPy?,"import numpy as np
a = np.array([1,2,3,4,5])
p = np.percentile(a, 50) #Returns 50th percentile, e.g. median
print(p)"
 Explain what Flask is and its benefits?,"Flask is a web microframework for Python based on “Werkzeug, Jinja2 and good intentions” BSD license. Werkzeug and Jinja2 are two of its dependencies. This means it will have little to no dependencies on external libraries.  It makes the framework light while there is a little dependency to update and fewer security bugs.

A session basically allows you to remember information from one request to another. In a flask, a session uses a signed cookie so the user can look at the session contents and modify. The user can modify the session if only it has the secret key Flask.secret_key."
 Is Django better than Flask?," Django and Flask map the URL’s or addresses typed in the web browsers to functions in Python. 

Flask is much simpler compared to Django but, Flask does not do a lot for you meaning you will need to specify the details, whereas Django does a lot for you wherein you would not need to do much work. Django consists of prewritten code, which the user will need to analyze whereas Flask gives the users to create their own code, therefore, making it simpler to understand the code. Technically both are equally good and both contain their own pros and cons."
" Mention the differences between Django, Pyramid and Flask.","Flask is a “microframework” primarily build for a small application with simpler requirements. In flask, you have to use external libraries. Flask is ready to use.
Pyramid is built for larger applications. It provides flexibility and lets the developer use the right tools for their project. The developer can choose the database, URL structure, templating style and more. Pyramid is heavy configurable.
Django can also be used for larger applications just like Pyramid. It includes an ORM."
Discuss Django architecture.,"The developer provides the Model, the view and the template then just maps it to a URL and Django does the magic to serve it to the user."
Explain how you can set up the Database in Django.,"You can use the command edit mysite/setting.py, it is a normal python module with module level representing Django settings.

Django uses SQLite by default; it is easy for Django users as such it won’t require any other type of installation. In the case your database choice is different that you have to the following keys in the DATABASE ‘default’ item to match your database connection settings."
Mention what the Django templates consist of.,"The template is a simple text file.  It can create any text-based format like XML, CSV, HTML, etc.  A template contains variables that get replaced with values when the template is evaluated and tags (% tag %) that control the logic of the template."
Explain the use of session in Django framework?,"Django provides a session that lets you store and retrieve data on a per-site-visitor basis. Django abstracts the process of sending and receiving cookies, by placing a session ID cookie on the client side, and storing all the related data on the server side."
List out the inheritance styles in Django.,"In Django, there are three possible inheritance styles:

Abstract Base Classes: This style is used when you only want parent’s class to hold information that you don’t want to type out for each child model.
Multi-table Inheritance: This style is used If you are sub-classing an existing model and need each model to have its own database table.
Proxy models: You can use this model, If you only want to modify the Python level behavior of the model, without changing the model’s fields."
How can you Get the Google cache age of any URL or web page?,"Use the following URL format:

http://webcache.googleusercontent.com/search?q=cache:URLGOESHERE

Be sure to replace “URLGOESHERE” with the proper web address of the page or site whose cache you want to retrieve and see the time for."
What is map function in Python?,"map function executes the function given as the first argument on all the elements of the iterable given as the second argument. If the function given takes in more than 1 arguments, then many iterables are given. "
Is python numpy better than lists?," We use python numpy array instead of a list because of the below three reasons:

Less Memory
Fast
Convenient"
What is the difference between NumPy and SciPy?,"In an ideal world, NumPy would contain nothing but the array data type and the most basic operations: indexing, sorting, reshaping, basic elementwise functions, et cetera.
All numerical code would reside in SciPy. However, one of NumPy’s important goals is compatibility, so NumPy tries to retain all features supported by either of its predecessors.
Thus NumPy contains some linear algebra functions, even though these more properly belong in SciPy. In any case, SciPy contains more fully-featured versions of the linear algebra modules, as well as many other numerical algorithms."
How do you make 3D plots/visualizations using NumPy/SciPy?,"Like 2D plotting, 3D graphics is beyond the scope of NumPy and SciPy, but just as in the 2D case, packages exist that integrate with NumPy. Matplotlib provides basic 3D plotting in the mplot3d subpackage, whereas Mayavi provides a wide range of high-quality 3D visualization features, utilizing the powerful VTK engine."
What is the maximum possible length of an identifier?,Identifiers can be of any length.
Why are local variable names beginning with an underscore discouraged?,"As Python has no concept of private variables, leading underscores are used to indicate variables that must not be accessed from outside the class."
When will the else part of try-except-else be executed?,The else part is executed when no exception occurs.
Define python?,Python is an interpreted high-level general-purpose programming language. Python's design philosophy emphasizes code readability with its notable use of significant indentation.
Definition of python?,"Python is an interpreted, object-oriented, high-level programming language with dynamic semantics. Its high-level built in data structures, combined with dynamic typing and dynamic binding, make it very attractive for Rapid Application Development, as well as for use as a scripting or glue language to connect existing components together"
What is slicing in Python?,Start is the starting index from where to slice a list or tuple
What are unittests in Python?,Unittest is a unit testing framework of Python.
What is the use of help() and dir() functions?,"help() function in Python is used to display the documentation of modules, classes, functions, keywords, etc. If no parameter is passed to the help() function, then an interactive help utility is launched on the console. 
dir() function tries to return a valid list of attributes and methods of the object it is called upon. It behaves differently with different objects, as it aims to produce the most relevant data, rather than the complete information."
What are generators in Python?,"Generators are functions that return an iterable collection of items, one at a time, in a set manner. Generators, in general, are used to create iterators with a different approach. They employ the use of yield keyword rather than return to return a generator object."
What is split() and join() functions in Python?,You can use join() function to join a list of strings based on a delimiter to give a single string.You can use split() function to split a string based on a delimiter to a list of strings.
How to delete a file in Python?,Use command os.remove(file_name)
What are iterators in Python?,"Iterator is an object.It remembers its state i.e., where it is during iteration (see code below to see how)"
What are unittests in Python?,unittest is a unit testing framework of Python.
What is the use of help() and dir() functions?,"help() function in Python is used to display the documentation of modules, classes, functions, keywords, etc. If no parameter is passed to the help() function, then an interactive help utility is launched on the console."
ow can you share global variables across modules?,"To share global variables across modules within a single program, create a special module.Import the config module in all modules of your application. The module will be available as a global variable across modules."
Explain how can you make a Python Script executable on Unix?,"To make a Python Script executable on Unix, you need to do two things, 

Script file's mode must be executable, and the first line must begin with #"
How can you access a module written in Python from C?,"You can access a module written in Python from C by following method,Module = PyImport_ImportModule(""<modulename>"");"
What is the difference between a module and a package in Python?,"Each Python program file is a module that imports other modules like objects. Thus, a module is a way to structure the program. The folder of a Python program is called a package of modules."
What are the built-in types available in Python?,"One of the most common python interview question, There are mutable and immutable built-in types. 

The mutable ones include: 

List 
Sets 
Dictionaries 
The immutable types include: 

Strings 
Tuples 
Numbers"
What are decorators in Python?,A Python decorator is a specific change made in the Python syntax for the easy alteration of functions.
What is the use of the // operator in Python?,Using the // operator between 2 numbers gives the quotient when the numerator is divided from the denominator. It is called the Floor Division operator.
What is the range() function and what are its parameters?,"The range() function is used to generate a list of numbers. Only integer numbers are allowed, and hence, parameters can be both negative and positive. The following parameters are acceptable: 

range(stop) 

Where ‘stop’ is the no. of integers to generate, starting from 0. Example: range(5) == [0,1,2,3,4] 

range([start], stop[, step]) 

Start: gives the starting no. of the sequence 

Stop: specifies the upper limit for the sequence 

Step: is the incrementing factor in the sequence"
What is the use of %s?,%s is a format specifier which transmutes any value into a string.
What is GIL?,"GIL or the Global Interpreter Lock is a mutex, used to limit access to Python objects. It synchronizes threads and prevents them from running at the same time."
What are the key features of Python?,"It is one of the common python interview questions. Python is an open-source, high-level, general-purpose programming language. Since it is a general-purpose programming language and it comes with an assortment of libraries, you can use Python for developing almost any type of application. 

Some of its key features are: 

Interpreted 
Dynamically-typed 
Object-oriented 
English-like syntax"
What is PYTHONPATH?,"PYTHONPATH is an environment variable that is used to incorporate additional directories when a module/package is imported. Whenever a module/package is imported, PYTHONPATH is used to check if the imported modules are present in the existing directories. Usually, the interpreter uses PYTHONPATH to determine which module to load. 
"
What are python modules? Name some commonly used built-in modules in Python?,"Python modules are files containing Python code that can be either function classes or variables. These modules are Python files having a .py extension. Modules can include a set of functions, classes, or variables that are both defined and implemented. You can import and initialize a module using the import statement, learning python tutorial will let us know more about python modules. 

Here are some of the commonly used built-in modules in Python: 

os 
sys 
math 
random 
data time 
JSON"
What is PEP 8?,"PEP or Python Enhancement Proposal is a set of rules that specify how to format Python code for maximum readability. It is an official design document that provides relevant information to the Python Community, such as describing a new Python feature or a Python process. PEP 8 is an important document that includes the style guidelines for Python Code. Anyone who wishes to contribute to the Python open-source community must strictly abide by these style guidelines."
What is an Expression?,"An expression Can be defined as a combination of variables, values operators a call to functions. It is a sequence of operands or operators like a + B – 5 is called an expression. Python supports many such operators for combining data object into an express."
What are the escape sequences in Python?,"Python strings, the backslash “\” could be a special character, also called the “escape” character. it’s utilized in representing certain whitespace characters: “\t” may be a tab, “\n” could be a newline, and “\r” could be a printing operation. Conversely, prefixing a special character with “\” turns it into a standard character."
How will you get all the keys from the dictionary?,"Using dictionary.keys() function, we can get all the keys from the dictionary object."
How will you get all the values from the dictionary?,"Using dictionary.values() function, we can get all the values from the dictionary object."
How will you convert a string to an int in python?,int(x) - Converts x to an integer. base specifies the base if x is a string.
What is the purpose of ** operator?,** Exponent ? Performs exponential (power) calculation on operators. a**b = 10 to the power 20 if a = 10 and b = 20.
What is the purpose of not in operator?,"not in ? Evaluates to true if it does not finds a variable in the specified sequence and false otherwise. x not in y, here not in results in a 1 if x is not a member of sequence y."
What is the purpose continue statement in python?,continue statement ? Causes the loop to skip the remainder of its body and immediately retest its condition prior to reiterating.
What we call a function which is incomplete version of a function?,Stub.
When a function is defined then the system stores parameters and local variables in an area of memory. What this memory is known as?,Stack
When does a new block begin in python?,A block begins when the line is intended by 4 spaces.What does pass operation do?
What does pass operation do?,Pass indicates that nothing is to be done i.e. it signifies a no operation.
What are the applications of Python?,"Python is used in various software domains some application areas are like Web and Internet Development, GUI based desktop applications,image processing and graphic design applications"
What do you mean by Python literals?,Literals can be defined as a data which is given in a variable or constant.
What are string literals,String literals are formed by enclosing text in the single or double quotes
What is zip() function in Python?,"Python zip() function returns a zip object, which maps a similar index of multiple containers. It takes an iterable, convert into iterator and aggregates the elements based on iterables passed. It returns an iterator of tuples."
What is Python's parameter passing mechanism?,"There are two parameters passing mechanism in Python: 

1)Pass by references 
2)Pass by value"
What is the difference between remove() function and del statement?,"You can use the remove() function to delete a specific object in the list.If you want to delete an object at a specific location (index) in the list, you can either use del or pop."
What is swapcase() function in the Python?,"It is a string's function which converts all uppercase characters into lowercase and vice versa. It is used to alter the existing case of the string. This method creates a copy of the string which contains all the characters in the swap case. If the string is in lowercase, it generates a small case string and vice versa. It automatically ignores all the non-alphabetic characters."
How to remove whitespaces from a string in Python?,"To remove the whitespaces and trailing spaces from the string, Python providies strip([str]) built-in function. This function returns a copy of the string after removing whitespaces if present."
Why do we use join() function in Python?,The join() is defined as a string method which returns a string value. It is concatenated with the elements of an iterable. It provides a flexible way to concatenate the strings.
what is shuffle() method?,"This method shuffles the given string or an array. It randomizes the items in the array. This method is present in the random module. So, we need to import it and then we can call the function. It shuffles elements each time when the function calls and produces different output."
What is the use of break statement?,"It is used to terminate the execution of the current loop. Break always breaks the current execution and transfer control to outside the current block. If the block is in a loop, it exits from the loop, and if the break is in a nested loop, it exits from the innermost loop."
What is tuple in Python?,"A tuple is a built-in data collection type. It allows us to store values in a sequence. It is immutable, so no change is reflected in the original data. It uses () brackets rather than [] square brackets to create a tuple. We cannot remove any element but can find in the tuple. We can use indexing to get elements. It also allows traversing elements in reverse order by using negative indexing. Tuple supports various methods like max(), sum(), sorted(), Len() etc."
Which are the file related libraries/modules in Python?,"The Python provides libraries/modules that enable you to manipulate text files and binary files on the file system. It helps to create files, update their contents, copy, and delete files. The libraries are os, os.path, and shutil."
What are the different file processing modes supported by Python?,"Python provides three modes to open files. The read-only, write-only, read-write and append mode. 'r' is used to open a file in read-only mode, 'w' is used to open a file in write-only mode, 'rw' is used to open in reading and write mode, 'a' is used to open a file in append mode. If the mode is not specified, by default file opens in read-only mode."
How to create a Unicode string in Python?,"In Python 3, the old Unicode type has replaced by ""str"" type, and the string is treated as Unicode by default. We can make a string in Unicode by using art.title.encode(""utf-8"") function."
What is a negative index in Python?,"Python sequences are accessible using an index in positive and negative numbers. For example, 0 is the first positive index, 1 is the second positive index and so on. For negative indexes -1 is the last negative index, -2 is the second last negative index and so on."
What is the shortest method to open a text file and display its content?,"The shortest way to open a text file is by using ""with"" command"
What is the usage of enumerate () function in Python?,The enumerate() function is used to iterate through the sequence and retrieve the index position and its corresponding value at the same time.
what are the rules for local and global variables in Python?,"Local variables: If a new value is assigned by a variable within the function's body, it is assumed to be local.

Global variables: These are the variables that are only referenced inside a function are implicitly global."
What is scope in python?,"Local variables: If a new value is assigned by a variable within the function's body, it is assumed to be local.

Global variables: These are the variables that are only referenced inside a function are implicitly global."
What are functions in Python?,"Functions in Python refer to blocks that have organised, and reusable codes to perform single, and related events. Functions are important to create better modularity for applications which reuse high degree of coding. Python has a number of built-in functions like print(). However, it also allows you to create user-defined functions."
What is Pandas?,"Pandas is an open source python library which has a very rich set of data structures for data based operations. Pandas with it’s cool features fits in every role of data operation, whether it be academics or solving complex business problems. Pandas can deal with a large variety of files and is one of the most important tools to have a grip on."
What are dataframes?,A pandas dataframe is a data structure in pandas which is mutable. Pandas has support for heterogeneous data which is arranged across two axes.( rows and columns).
What is a Pandas Series?,"Series is a one dimensional pandas data structure which can data of almost any type. It resembles an excel column. It supports multiple operations and is used for single dimensional data operations. 
"
What is pandas groupby?,"A pandas groupby is a feature supported by pandas which is used to split and group an object. Like the sql/mysql/oracle groupby it used to group data by classes, entities which can be further used for aggregation. A dataframe can be grouped by one or more columns."
What kind of joins does pandas offer?,"Pandas has a left join, inner join, right join and an outer join."
How to merge dataframes in pandas?,Merging depends on the type and fields of different dataframes being merged. If data is having similar fields data is merged along axis 0 else they are merged along axis 1.
What is a classifier?,A classifier is used to predict the class of any data point. Classifiers are special hypotheses that are used to assign class labels to any particular data points. A classifier often uses training data to understand the relation between input variables and the class. Classification is a method used in supervised learning in Machine Learning.
how do you convert a string into lowercase?,All the upper cases in a string can be converted into lowercase by using the method: string.lower()
How can you capitalize the first letter of a string?,We can use the capitalize() function to capitalize the first character of a string. If the first character is already in capital then it returns the original string.
How can you insert an element at a given index in Python?,Python has an inbuilt function called the insert() function.It can be used used to insert an element at a given index.
What is recursion?,"Recursion is a function calling itself one or more times in it body. One very important condition a recursive function should have to be used in a program is, it should terminate, else there would be a problem of an infinite loop."
How will you remove duplicate elements from a list?,"There are various methods to remove duplicate elements from a list. But, the most common one is, converting the list into a set by using the set() function and using the list() function to convert it back to a list, if required."
what are Python List Comprehension,"List comprehensions are used for transforming one list into another list. Elements can be conditionally included in the new list and each element can be transformed as needed. It consists of an expression leading a for clause, enclosed in brackets. for ex: list = [i for i in range(1000)]"
What is the bytes() function?,"The bytes() function returns a bytes object. It is used to convert objects into bytes objects, or create empty bytes object of the specified size."
What is a map() function in Python?,"The map() function in Python is used for applying a function on all elements of a specified iterable. It consists of two parameters, function and iterable. The function is taken as an argument and then applied to all the elements of an iterable(passed as the second argument). An object list is returned as a result."
What are the tools present to perform statics analysis?,"The two static analysis tool used to find bugs in Python are: Pychecker and Pylint. Pychecker detects bugs from the source code and warns about its style and complexity.While, Pylint checks whether the module matches upto a coding standard."
